許可證字號,藥廠,顯示名稱,分類標籤,濃縮倍數,濃縮生藥組成,原粉生藥組成,賦形劑組成,解析狀態,人工校正提示,原始處方(供對照用)
衛署藥製字第055125號,領先,黃連濃縮細粒(領先),濃縮顆粒劑,6,黃連:4.2,,玉米澱粉:0.3,✅ 解析成功,無需校正。,"處方:每公克中含有:
 
 黃連 (4.2 g)
 
 以上生藥製成浸膏0.7g(生藥與浸膏比例4.2：0.7＝6：1) ( )
 
 玉米澱粉 (0.3 g)"
衛署藥製字第055126號,領先,天花粉濃縮細粒(領先),濃縮顆粒劑,9,天花粉:3.6,,玉米澱粉:0.6,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 天花粉 (3.6 g)
 
 以上生藥製成浸膏0.4g(生藥與浸膏比例3.6：0.4＝9：1) ( )
 
 玉米澱粉 (0.6 g)"
衛署藥製字第055127號,領先,石菖蒲濃縮細粒(領先),濃縮顆粒劑,8.4,石菖蒲:4.2,,玉米澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 石菖蒲 (4.2 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例4.2：0.5＝8.4：1) ( )
 
 玉米澱粉 (0.5 g)"
衛署藥製字第055128號,領先,梔子濃縮細粒(領先),濃縮顆粒劑,5,梔子:3.5,,玉米澱粉:0.3,✅ 解析成功,無需校正。,"處方:每公克中含有:
 
 梔子 (3.5 g)
 
 以上生藥製成浸膏0.7g(生藥與浸膏比例3.5：0.7＝5：1) ( )
 
 玉米澱粉 (0.3 g)"
衛署藥製字第055129號,領先,五味子濃縮細粒(領先),濃縮顆粒劑,5.32,五味子:2.66,,玉米澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 五味子 (2.66 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例2.66：0.5＝5.32：1) ( )
 
 玉米澱粉 (0.5 g)"
衛署藥製字第055130號,領先,大黃濃縮細粒(領先),濃縮顆粒劑,7.11,大黃:3.2,,玉米澱粉:0.55,✅ 解析成功,無需校正。,"處方:每公克中含有:
 
 大黃 (3.2 g)
 
 以上生藥製成浸膏0.45g(生藥與浸膏比例3.2：0.45＝7.11：1) ( )
 
 玉米澱粉 (0.55 g)"
衛署藥製字第055131號,領先,麻黃濃縮細粒(領先),濃縮顆粒劑,7.29,麻黃:3.5,,玉米澱粉:0.52,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 麻黃 (3.5 g)
 
 以上生藥製成浸膏0.48g(生藥與浸膏比例3.5：0.48＝7.29：1) ( )
 
 玉米澱粉 (0.52 g)"
衛署藥製字第055132號,領先,辛夷濃縮細粒(領先),濃縮顆粒劑,5,辛夷:3.5,,玉米澱粉:0.3,✅ 解析成功,無需校正。,"處方:每公克中含有:
 
 辛夷 (3.5 g)
 
 以上生藥製成浸膏0.7g(生藥與浸膏比例3.5：0.7＝5：1) ( )
 
 玉米澱粉 (0.3 g)"
衛署藥製字第055133號,領先,金銀花濃縮細粒(領先),濃縮顆粒劑,7,金銀花:4.9,,玉米澱粉:0.3,✅ 解析成功,無需校正。,"處方:每公克中含有:
 
 金銀花 (4.9 g)
 
 以上生藥製成浸膏0.7 g(生藥與浸膏比例4.9 ： 0.7 = 7 ： 1) ( )
 
 玉米澱粉 (0.3 g)"
衛署藥製字第055134號,領先,羌活濃縮細粒(領先),濃縮顆粒劑,6,羌活:4.2,,玉米澱粉:0.3,✅ 解析成功,無需校正。,"處方:每公克中含有:
 
 羌活 (4.2 g)
 
 以上生藥製成浸膏0.7 g(生藥與浸膏比例4.2：0.7=6：1) ( )
 
 玉米澱粉 (0.3 g)"
衛署藥製字第055135號,領先,麥門冬濃縮細粒(領先),濃縮顆粒劑,4.62,麥門冬:3,,玉米澱粉:0.35,✅ 解析成功,無需校正。,"處方:每公克中含有:
 
 麥門冬 (3.0 g)
 
 以上生藥製成浸膏0.65 g(生藥與浸膏比例3.0：0.65=4.62：1) ( )
 
 玉米澱粉 (0.35 g)"
衛署藥製字第055136號,領先,萆薢分清飲濃縮細粒(領先),濃縮顆粒劑,9.38,益智仁:6|萆薢:6|石菖蒲:6|烏藥:6|甘草梢:3|茯苓:3,,玉米澱粉:2.8,✅ 解析成功,無需校正。,"處方:每6.0公克中含有：
 
 益智仁 (6.0 g)
 
 萆薢 (6.0 g)
 
 石菖蒲 (6.0 g)
 
 烏藥 (6.0 g)
 
 甘草梢 (3.0 g)
 
 茯苓 (3.0 g)
 
 以上生藥製成浸膏3.2g(生藥與浸膏比例30：3.2＝9.38：1) ( )
 
 玉米澱粉 (2.8 g)"
衛署藥製字第055137號,領先,茯菟丹濃縮細粒(領先),濃縮顆粒劑,7.5,茯苓:3|菟絲子:10|五味子:8|石蓮肉:3|山藥:6,,玉米澱粉:2,✅ 解析成功,無需校正。,"處方:每6公克中含有：
 
 茯苓 (3 g)
 
 菟絲子 (10 g)
 
 五味子 (8 g)
 
 石蓮肉 (3 g)
 
 山藥 (6 g)
 
 以上生藥製成浸膏4g(生藥與浸膏比例30：4＝7.5：1) ( )
 
 玉米澱粉 (2 g)"
衛署藥製字第055138號,領先,柴胡清肝湯濃縮細粒(領先),濃縮顆粒劑,6,柴胡:2.4|生地黃:2.4|赤芍:2.4|牛蒡子:2.4|當歸:3.2|連翹:1.6|川芎:1.6|黃芩:1.6|生梔子:1.6|天花粉:1.6|甘草節:1.6|防風:1.6,,玉米澱粉:2,✅ 解析成功,無需校正。,"處方:每６公克中含有：
 
 柴胡 (2.4 g)
 
 生地黃 (2.4 g)
 
 赤芍 (2.4 g)
 
 牛蒡子 (2.4 g)
 
 當歸 (3.2 g)
 
 連翹 (1.6 g)
 
 川芎 (1.6 g)
 
 黃芩 (1.6 g)
 
 生梔子 (1.6 g)
 
 天花粉 (1.6 g)
 
 甘草節 (1.6 g)
 
 防風 (1.6 g)
 
 以上生藥製成浸膏4.0g(生藥與浸膏比例24：4＝6：1) ( )
 
 玉米澱粉 (2.0 g)"
衛署藥製字第055139號,順然,大黃濃縮細粒(順然),濃縮顆粒劑,4,大黃:2,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 大黃 (2.0 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例2：0.5＝4：1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第055141號,天明,栝樓仁濃縮細粒(天明),濃縮顆粒劑,21.6,栝樓仁:8,,玉米澱粉:0.5|乳糖:0.13,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 栝樓仁 (8.0 g)
 
 以上生藥製成浸膏0.37g(生藥與浸膏比例8：0.37＝21.6：1) ( )
 
 玉米澱粉 (0.5 g)
 
 乳糖 (0.13 g)"
衛署藥製字第055142號,優之堡,參苓白朮散濃縮錠(優之堡),濃縮錠劑,5.51,白扁豆:0.0767|人參:0.1|茯苓:0.1|白朮:0.1|甘草:0.1|山藥:0.1|蓮子肉:0.05|桔梗:0.05|薏苡仁:0.05|砂仁:0.05|大棗:0.05,,澱粉:0.145|硬脂酸鎂:0.005,✅ 解析成功,無需校正。,"處方:每錠(300mg)中含有：
 
 白扁豆 (76.7 mg)
 
 人參 (100.0 mg)
 
 茯苓 (100.0 mg)
 
 白朮 (100.0 mg)
 
 甘草 (100.0 mg)
 
 山藥 (100.0 mg)
 
 蓮子肉 (50.0 mg)
 
 桔梗 (50.0 mg)
 
 薏苡仁 (50.0 mg)
 
 砂仁 (50.0 mg)
 
 大棗 (50.0 mg)
 
 以上生藥製成浸膏150mg(生藥與浸膏比例826.7：150＝5.51：1) ( )
 
 澱粉 (145.0 mg)
 
 硬脂酸鎂 (5.0 mg)"
衛署藥製字第055143號,天明,薑黃濃縮細粒(天明),濃縮顆粒劑,9.3,薑黃:3.72,,澱粉:0.4|乳糖:0.2,✅ 解析成功,無需校正。,"處方:每公克中含有:
 
 薑黃 (3.72 g)
 
 以上生藥製成浸膏0.40g(生藥與浸膏比例3.72 : 0.4 = 9.3 : 1) ( )
 
 澱粉 (0.4 g)
 
 乳糖 (0.2 g)"
衛署藥製字第055144號,天一,栝樓仁濃縮顆粒(天一),濃縮顆粒劑,11.2,栝樓仁:5.6,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 栝樓仁 (5.6 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例5.6：0.5＝11.2：1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第055145號,港香蘭,佩蘭濃縮細粒(港香蘭),濃縮顆粒劑,6,佩蘭:3,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 佩蘭 (3.0 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例3：0.5＝6：1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第055147號,天一,川楝子濃縮顆粒(天一),濃縮顆粒劑,6,川楝子:3,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 川楝子 (3 g)
 
 以上生藥製成浸膏0.5 g (生藥與浸膏比例3：0.5 ＝ 6 ：1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第055148號,天一,五靈脂濃縮顆粒(天一),濃縮顆粒劑,15,五靈脂:7.5,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 五靈脂 (7.5 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例7.5：0.5＝15：1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第055149號,科達,芡實濃縮細粒(科達),濃縮顆粒劑,16.7,芡實:5,,澱粉:0.69|羧甲基纖維素鈉:0.01,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 芡實 (5 g)
 
 以上生藥製成浸膏0.3g(生藥與浸膏比例5：0.3＝16.7：1) ( )
 
 澱粉 (0.69 g)
 
 羧甲基纖維素鈉 (0.01 g)"
衛署藥製字第055150號,天一,深浦感冒解毒藥濃縮錠(銀翹散(天一),濃縮錠劑,6,連翹:0.25|金銀花:0.25|桔梗:0.15|薄荷:0.15|淡竹葉:0.1|甘草:0.125|荊芥:0.1|淡豆鼔:0.125|牛蒡子:0.15|蘆根:0.1,,澱粉:0.245|硬脂酸鎂:0.005,✅ 解析成功,無需校正。,"處方:每錠(500mg)中含有：
 
 連翹 (250 mg)
 
 金銀花 (250 mg)
 
 桔梗 (150 mg)
 
 薄荷 (150 mg)
 
 淡竹葉 (100 mg)
 
 甘草 (125 mg)
 
 荊芥 (100 mg)
 
 淡豆鼔 (125 mg)
 
 牛蒡子 (150 mg)
 
 蘆根 (100 mg)
 
 以上生藥製成浸膏250mg(生藥與浸膏比例1500：250＝6：1) ( )
 
 澱粉 (245 mg)
 
 硬脂酸鎂 (5 mg)"
衛署藥製字第055151號,天明,肉蓯蓉濃縮細粒(天明),濃縮顆粒劑,3.89,肉蓯蓉:1.75,,澱粉:0.43|乳糖:0.12,✅ 解析成功,無需校正。,"處方:每公克中含有:
 
 肉蓯蓉 (1.75 g)
 
 以上生藥製成浸膏0.45 g (生藥與浸膏比例 1.75 : 0.45 = 3.89 : 1) ( )
 
 澱粉 (0.43 g)
 
 乳糖 (0.12 g)"
衛署藥製字第055152號,天明,豬苓濃縮細粒(天明),濃縮顆粒劑,25,豬苓:10,,澱粉:0.4|乳糖:0.2,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 豬苓 (10.0 g)
 
 以上生藥製成浸膏0.4g(生藥與浸膏比例10：0.4＝25：1) ( )
 
 澱粉 (0.4 g)
 
 乳糖 (0.2 g)"
衛署藥製字第055153號,天明,桃仁濃縮細粒(天明),濃縮顆粒劑,10.4,桃仁:4.16,,玉米澱粉:0.45|乳糖:0.15,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 桃仁 (4.16 g)
 
 以上生藥製成浸膏0.4g(生藥與浸膏比例4.16：0.4＝10.4：1) ( )
 
 玉米澱粉 (0.45 g)
 
 乳糖 (0.15 g)"
衛署藥製字第055154號,優之堡,當歸芍藥散濃縮錠(優之堡),濃縮錠劑,6.7,當歸:0.074|白芍:0.37|茯苓:0.0925|白朮:0.0925|澤瀉:0.185|川芎:0.185,,澱粉:0.145|硬脂酸鎂:0.005,✅ 解析成功,無需校正。,"處方:每錠(300mg)中含有：
 
 當歸 (74 mg)
 
 白芍 (370 mg)
 
 茯苓 (92.5 mg)
 
 白朮 (92.5 mg)
 
 澤瀉 (185 mg)
 
 川芎 (185 mg)
 
 以上生藥製成浸膏150 mg (生藥與浸膏比例999 : 150 = 6.7 : 1) ( )
 
 澱粉 (145 mg)
 
 硬脂酸鎂 (5 mg)"
衛署藥製字第055155號,優之堡,金銀花濃縮細粒(優之堡),濃縮顆粒劑,6,金銀花:3,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 金銀花 (3.0 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例3.0：0.5＝6.0：1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第055156號,優之堡,當歸拈痛湯濃縮錠(優之堡),濃縮錠劑,6.1,當歸:0.0416|人參:0.0416|茵陳蒿:0.097|羌活:0.097|防風:0.0555|升麻:0.0416|葛根:0.0416|蒼朮:0.0416|白朮:0.0555|甘草:0.097|炒黃芩:0.097|苦參:0.0416|知母:0.0555|豬苓:0.0555|澤瀉:0.0555,,澱粉:0.145|硬脂酸鎂:0.005,✅ 解析成功,無需校正。,"處方:每錠(300mg)中含有：
 
 當歸 (41.6 mg)
 
 人參 (41.6 mg)
 
 茵陳蒿 (97.0 mg)
 
 羌活 (97.0 mg)
 
 防風 (55.5 mg)
 
 升麻 (41.6 mg)
 
 葛根 (41.6 mg)
 
 蒼朮 (41.6 mg)
 
 白朮 (55.5 mg)
 
 甘草 (97.0 mg)
 
 炒黃芩 (97.0 mg)
 
 苦參 (41.6 mg)
 
 知母 (55.5 mg)
 
 豬苓 (55.5 mg)
 
 澤瀉 (55.5 mg)
 
 以上生藥製成浸膏150mg(生藥與浸膏比例915.1：150＝6.10：1) ( )
 
 澱粉 (145.0 mg)
 
 硬脂酸鎂 (5.0 mg)"
衛署藥製字第055158號,仙豐,山藥濃縮散(仙豐),濃縮散劑,13,山藥:6.5,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 山藥 (6.5 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例6.5：0.5＝13：1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第055159號,富田,止嗽散濃縮細粒(富田),濃縮顆粒劑,4.8,桔梗:5|荊芥:5|紫菀:5|百部:5|白前:5|甘草:2|陳皮:2.5,,澱粉:5.8,✅ 解析成功,無需校正。,"處方:每12公克中含有
 
 桔梗 (5.0 g)
 
 荊芥 (5.0 g)
 
 紫菀 (5.0 g)
 
 百部 (5.0 g)
 
 白前 (5.0 g)
 
 甘草 (2.0 g)
 
 陳皮 (2.5 g)
 
 以上生藥製成浸膏 6.2 g (生藥與浸膏比例 29.5 : 6.2 = 4.8 : 1) ( )
 
 澱粉 (5.8 g)"
衛署藥製字第055161號,莊松榮,紅景天濃縮細粒(莊松榮),濃縮顆粒劑,3.3,紅景天:1.5,,微結晶纖維素:0.35|澱粉:0.2,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 紅景天 (1.5 g)
 
 以上生藥製成浸膏0.45g(生藥與浸膏比例1.5：0.45＝3.3：1) ( )
 
 微結晶纖維素 (0.35 g)
 
 澱粉 (0.2 g)"
衛署藥製字第055162號,富田,清氣化痰丸濃縮細粒(富田),濃縮顆粒劑,6.3,半夏:3|膽南星:3|橘紅:2|枳實:2|苦杏仁:2|栝樓仁:2|黃芩:2|茯苓:2|生薑:1,,澱粉:3,✅ 解析成功,無需校正。,"處方:每6公克中含有：
 
 半夏 (3.0 g)
 
 膽南星 (3.0 g)
 
 橘紅 (2.0 g)
 
 枳實 (2.0 g)
 
 苦杏仁 (2.0 g)
 
 栝樓仁 (2.0 g)
 
 黃芩 (2.0 g)
 
 茯苓 (2.0 g)
 
 生薑 (1.0 g)
 
 以上生藥製成浸膏3g(生藥與浸膏比例19：3＝6.3：1) ( )
 
 澱粉 (3.0 g)"
衛署藥製字第055163號,三才堂,乙字湯濃縮細粒(三才堂),濃縮顆粒劑,5.73,當歸:6|柴胡:6|黃芩:3|甘草:3|升麻:2|大黃:1.5,,澱粉:3.75,✅ 解析成功,無需校正。,"處方:每7.5公克中含有：
 
 當歸 (6.0 g)
 
 柴胡 (6.0 g)
 
 黃芩 (3.0 g)
 
 甘草 (3.0 g)
 
 升麻 (2.0 g)
 
 大黃 (1.5 g)
 
 以上生藥製成浸膏3.75g(生藥與浸膏比例21.5：3.75＝5.73：1) ( )
 
 澱粉 (3.75 g)"
衛署藥製字第055164號,天一,蒲公英濃縮顆粒(天一),濃縮顆粒劑,5,蒲公英:2.5,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 蒲公英 (2.5 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例2.5：0.5＝5：1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第055165號,天一,栝樓實濃縮顆粒(天一),濃縮顆粒劑,6,栝樓實:3,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 栝樓實 (3.0 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例3.0：0.5＝6：1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第055166號,天一,蒲黃濃縮顆粒(天一),濃縮顆粒劑,3.8,蒲黃:1.9,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 蒲黃 (1.9 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例1.9：0.5＝3.8：1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第055167號,天一,紫蘇子濃縮顆粒(天一),濃縮顆粒劑,14,紫蘇子:7,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 紫蘇子 (7.0 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例7：0.5＝14：1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第055168號,勸奉堂,吳茱萸湯濃縮細粒(勸奉堂),濃縮顆粒劑,4.5,吳茱萸:7.5|人參:4.5|生薑:9|大棗:6,,澱粉:6,✅ 解析成功,無需校正。,"處方:每12公克中含有：
 
 吳茱萸 (7.5 g)
 
 人參 (4.5 g)
 
 生薑 (9.0 g)
 
 大棗 (6.0 g)
 
 以上生藥製成浸膏6.0g(生藥與浸膏比例27：6=4.5：1) ( )
 
 澱粉 (6.0 g)"
衛署藥製字第055169號,天一,山豆根濃縮顆粒(天一),濃縮顆粒劑,5,山豆根:2.5,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 山豆根 (2.5 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例2.5：0.5＝5：1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第055170號,天明,番瀉葉濃縮細粒(天明),濃縮顆粒劑,6.46,番瀉葉:3.1,,澱粉:0.42|乳糖:0.1,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 番瀉葉 (3.1 g)
 
 以上生藥製成浸膏0.48g(生藥與浸膏比例3.1：0.48＝6.46：1) ( )
 
 澱粉 (0.42 g)
 
 乳糖 (0.1 g)"
衛署藥製字第055171號,阿桐伯,左歸丸濃縮錠(阿桐伯),濃縮錠劑,2.92,熟地黃:0.2|山萸肉:0.1|枸杞子:0.1|鹿角膠:0.1|菟絲子:0.1|山藥:0.1|龜板膠:0.1|牛膝:0.075,,澱粉:0.195|硬脂酸鎂:0.005,✅ 解析成功,無需校正。,"處方:每錠(500mg)中含有：
 
 熟地黃 (200 mg)
 
 山萸肉 (100 mg)
 
 枸杞子 (100 mg)
 
 鹿角膠 (100 mg)
 
 菟絲子 (100 mg)
 
 山藥 (100 mg)
 
 龜板膠 (100 mg)
 
 牛膝 (75 mg)
 
 以上生藥製成浸膏300mg(生藥與浸膏比例875：300＝2.92：1) ( )
 
 澱粉 (195 mg)
 
 硬脂酸鎂 (5 mg)"
衛署藥製字第055172號,國科,杜仲濃縮錠(國科),濃縮錠劑,8.38,杜仲:1.2567,,澱粉:0.147|硬脂酸鎂:0.003,✅ 解析成功,無需校正。,"處方:每錠(300mg)中含有：
 
 杜仲 (1256.7 mg)
 
 以上生藥製成浸膏150mg(生藥與浸膏比例1256.7：150＝8.38：1) ( )
 
 澱粉 (147.0 mg)
 
 硬脂酸鎂 (3.0 mg)"
衛署藥製字第055173號,優之堡,丹參濃縮細粒(優之堡),濃縮顆粒劑,5,丹參:2.5,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 丹參 (2.5 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例2.5：0.5＝5：1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第055174號,天一,紫蘇葉濃縮顆粒(天一),濃縮顆粒劑,8,紫蘇葉:4,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 紫蘇葉 (4.0 g)
 
 以上生藥製成浸膏0.5 g(生藥與浸膏比例4.0 : 0.5 = 8 : 1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第055175號,天明,蔓荊子濃縮細粒(天明),濃縮顆粒劑,11.25,蔓荊子:4.5,,澱粉:0.45|乳糖:0.15,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 蔓荊子 (4.5 g)
 
 以上生藥製成浸膏0.4 g(生藥與浸膏比例4.5 : 0.4 = 11.25 : 1) ( )
 
 澱粉 (0.45 g)
 
 乳糖 (0.15 g)"
衛署藥製字第055176號,天明,天門冬濃縮細粒(天明),濃縮顆粒劑,3.67,天門冬:1.65,,澱粉:0.4|乳糖:0.15,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 天門冬 (1.65 g)
 
 以上生藥製成浸膏0.45g(生藥與浸膏比例1.65：0.45＝3.67：1) ( )
 
 澱粉 (0.40 g)
 
 乳糖 (0.15 g)"
衛署藥製字第055177號,港香蘭,白芍濃縮細粒(港香蘭),濃縮顆粒劑,6.39,白芍:4.28,白芍:0.33,,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有： 
 
 白芍 (4.28 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例4.28:0.67=6.39:1) ( )
 
 白芍 (0.33 g)"
衛署藥製字第055179號,天一,麻黃濃縮顆粒(天一),濃縮顆粒劑,6,麻黃:3,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 麻黃 (3 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例3：0.5＝6：1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第055180號,天一,夏枯草濃縮顆粒(天一),濃縮顆粒劑,9,夏枯草:4.5,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 夏枯草 (4.5 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例4.5：0.5＝9：1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第055181號,昕泰,右歸丸(昕泰),丸劑,1,,熟地黃:0.07|肉桂:0.0175|炮附子:0.0175|山萸肉:0.035|山藥:0.035|菟絲子:0.035|杜仲:0.035|枸杞子:0.035|鹿角膠:0.0268|當歸:0.0268,蜂蜜:0.1664,✅ 成功(原粉/非濃縮),自動判定為原粉劑型，倍數設為 1。,"處方:每丸(500mg)中含有：
 
 熟地黃 (70.0 mg)
 
 肉桂 (17.5 mg)
 
 炮附子 (17.5 mg)
 
 山萸肉 (35.0 mg)
 
 山藥 (35.0 mg)
 
 菟絲子 (35.0 mg)
 
 杜仲 (35.0 mg)
 
 枸杞子 (35.0 mg)
 
 鹿角膠 (26.8 mg)
 
 當歸 (26.8 mg)
 
 蜂蜜 (166.4 mg)"
衛署藥製字第055182號,天明,玉竹濃縮細粒(天明),濃縮顆粒劑,3,玉竹:1.5,,澱粉:0.4|乳糖:0.1,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 玉竹 (1.5 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例1.5：0.5＝3：1) ( )
 
 澱粉 (0.4 g)
 
 乳糖 (0.1 g)"
衛署藥製字第055183號,科達,龍膽瀉肝湯濃縮細粒(科達),濃縮顆粒劑,5.2,龍膽:4|黃芩:2|山梔子:2|澤瀉:4|木通:2|車前子:2|生地黃:2|當歸:2|柴胡:4|甘草:2,,澱粉:3.82|二氧化矽:0.09|羧甲基纖維素鈉:0.09,✅ 解析成功,無需校正。,"處方:每9公克中含有：
 
 龍膽 (4.0 g)
 
 黃芩 (2.0 g)
 
 山梔子 (2.0 g)
 
 澤瀉 (4.0 g)
 
 木通 (2.0 g)
 
 車前子 (2.0 g)
 
 生地黃 (2.0 g)
 
 當歸 (2.0 g)
 
 柴胡 (4.0 g)
 
 甘草 (2.0 g)
 
 以上生藥製成浸膏5.0g(生藥與浸膏比例26：5＝5.2：1) ( )
 
 澱粉 (3.82 g)
 
 二氧化矽 (0.09 g)
 
 羧甲基纖維素鈉 (0.09 g)"
衛署藥製字第055184號,莊松榮,荷葉濃縮細粒(莊松榮),濃縮顆粒劑,8,荷葉:3.2,,澱粉:0.25|結晶性纖維素:0.35,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 荷葉 (3.2 g)
 
 以上生藥製成浸膏0.4g(生藥與浸膏比例3.2：0.4＝8：1) ( )
 
 澱粉 (0.25 g)
 
 結晶性纖維素 (0.35 g)"
衛署藥製字第055186號,領先,升麻濃縮細粒(領先),濃縮顆粒劑,5,升麻:3.5,,玉米澱粉:0.3,✅ 解析成功,無需校正。,"處方:每公克中含有:
 
 升麻 (3.5 g)
 
 以上生藥製成浸膏0.7g(生藥與浸膏比例3.5：0.7＝5：1) ( )
 
 玉米澱粉 (0.3 g)"
衛署藥製字第055192號,領先,桔梗濃縮細粒(領先),濃縮顆粒劑,4.97,桔梗:3.33,,玉米澱粉:0.33,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 桔梗 (3.33 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例3.33：0.67＝4.97：1) ( )
 
 玉米澱粉 (0.33 g)"
衛署藥製字第055193號,天一,狗脊濃縮顆粒(天一),濃縮顆粒劑,3.4,狗脊:1.7,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 狗脊 (1.7 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例1.7：0.5＝3.4：1) ( )
 
 澱粉 (0.5 g)"
衛署藥製字第055194號,天明,淡竹葉濃縮細粒(天明),濃縮顆粒劑,10,淡竹葉:3.3,,澱粉:0.55|乳糖:0.12,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 淡竹葉 (3.3 g)
 
 以上生藥製成浸膏0.33g(生藥與浸膏比例3.3：0.33＝10：1) ( )
 
 澱粉 (0.55 g)
 
 乳糖 (0.12 g)"
衛署藥製字第055195號,順安,複方丹參回心丹丸(複方丹參片(順安),丸劑,1,,丹參:0.0175|三七:0.0034|冰片:0.0002,聚乙二醇:0.0039,✅ 成功(原粉/非濃縮),自動判定為原粉劑型，倍數設為 1。,"處方:每丸(25mg)中含有：
 
 丹參 (17.5 mg)
 
 三七 (3.4 mg)
 
 冰片 (0.2 mg)
 
 聚乙二醇 (3.9 mg)"
衛署藥製字第055196號,天一,豨薟草濃縮顆粒(天一),濃縮顆粒劑,11,豨薟草:5.5,,澱粉:0.5,✅ 解析成功,無需校正。,"處方:每公克中含有：
 
 豨薟草 (5.5 g)
 
 以上生藥製成浸膏0.5g(生藥與浸膏比例5.5：0.5＝11：1) ( )
 
 澱粉 (0.5 g)"
